Invoice_Date,Customer_Code,Customer_Name,Item_Code,Zone,HQ,Brand,Item_Description,QTY,AMOUNT
2022-10-09,305087,Phoenix Poultry,10008978,West,Jabalpur,Kem-O-Cid Gold,KEM-O-CID Gold (25 Kg),1000,90000
2022-10-09,305087,Phoenix Poultry,10014153,West,Jabalpur,Previte Alpha D3 Premix,Previte Alpha-D3 Premix (5x5 Kg),200,160000
2022-10-09,304965,Vinayak Enterprises,10011522,North,Karnal,Previte Chick Pro,Previte Chick Pro (5L x 2),20,8200
2022-10-09,304965,Vinayak Enterprises,10011522,North,Karnal,Previte Chick Pro,Previte Chick Pro (5L x 2),180,73800
2022-11-09,304037,Poshak Medicines,10009988,West,Anand,Previte ADBEC,Previte ADBEC (10 x 1 Lit),250,140000
2022-11-09,306121,New Hema Enterprises,10010115,South,Hyderabad ,Kem-O-Cid pHB,Kem-O-Cid pHB (5L*2),130,16510
2022-11-09,305998,Titu Poultry Feed Supplement Store,10007224,North,Jind,Poszyme,Poszyme 5000 (25 Kg) (Granules),125,10913
2022-11-09,305998,Titu Poultry Feed Supplement Store,10008978,North,Jind,Kem-O-Cid Gold,KEM-O-CID Gold (25 Kg),500,43650
2022-12-09,304037,Poshak Medicines,10010112,West,Anand,Kembio,Kem Bio WS (1kg*10),-30,-18750
2022-12-09,305029,Mittal Enterprises,10008978,North,Barwala,Kem-O-Cid Gold,KEM-O-CID Gold (25 Kg),500,44000
2022-12-09,305029,Mittal Enterprises,10008978,North,Barwala,Kem-O-Cid Gold,KEM-O-CID Gold (25 Kg),500,44000
2022-12-09,306206,CPF (India) Private Limited,10016091,South,Coimbatore,Bromo Grane,Bromograne (12 x 1Kg),24,29688
2022-12-09,306034,Synergy Agro Industries,10007366,West,Indore,Poszyme,Poszyme 5000 (25 Kg) (Powder),-75,-5625
2022-01-10,304965,Vinayak Enterprises,10011706,North,Karnal,Copper Sulphate P,Copper Sulphate A (5 x 5 kg),300,87000
2022-02-10,304982,Jaya Agency,10015568,South,Bangalore,NDZ Forte,NDZ Forte (5 x 5Kg),25,6250
2022-02-10,304982,Jaya Agency,10015568,South,Bangalore,NDZ Forte,NDZ Forte (5 x 5Kg),475,118750
2022-03-10,306130,Shri Hiranyakeshi Feeds And Farms P,10011951,West,Sangli,Xerotox,Xerotox C (25 Kg),3,3375
2022-03-10,306130,Shri Hiranyakeshi Feeds And Farms P,10011951,West,Sangli,Xerotox,Xerotox C (25 Kg),20,22500
2022-03-10,306130,Shri Hiranyakeshi Feeds And Farms P,10011951,West,Sangli,Xerotox,Xerotox C (25 Kg),17,19125
2022-06-10,304030,Alora Agritech Pvt. Ltd.,10015938,North,Karnal,Kembio,KemBio Advance (2 x 5Kg),10,7000
2022-06-10,304030,Alora Agritech Pvt. Ltd.,10015938,North,Karnal,Kembio,KemBio Advance (2 x 5Kg),290,203000
2022-08-10,306007,ABP Enterprises,10014153,East,24 Pargana,Previte Alpha D3 Premix,Previte Alpha-D3 Premix (5x5 Kg),500,350000
2022-08-10,306007,ABP Enterprises,10014153,East,24 Pargana,Previte Alpha D3 Premix,Previte Alpha-D3 Premix (5x5 Kg),500,350000
